epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,23966.9,0.82062,1.35048,1.03321,0.94559,0.89952,0.94835,0.66506,0.78875,1.29117,1.01661,0.00243475,0.00243475,0.00243475
123,24168.2,0.8201,1.35314,1.0309,0.94583,0.89868,0.9482,0.66541,0.78797,1.2883,1.01605,0.00243121,0.00243121,0.00243121
124,24369.8,0.82389,1.355,1.03321,0.94641,0.8989,0.94843,0.66587,0.78739,1.28747,1.01595,0.00242766,0.00242766,0.00242766
125,24571.1,0.81499,1.34392,1.02979,0.94576,0.89979,0.94903,0.66634,0.78696,1.28642,1.01563,0.00242412,0.00242412,0.00242412
126,24772.4,0.81867,1.3499,1.03274,0.94567,0.89938,0.94905,0.66642,0.78625,1.28526,1.01529,0.00242058,0.00242058,0.00242058
127,24970.6,0.81468,1.33908,1.02766,0.94503,0.90033,0.94941,0.66643,0.78509,1.28208,1.01479,0.00241703,0.00241703,0.00241703
128,25169.3,0.81681,1.34259,1.0287,0.94462,0.89993,0.94905,0.66694,0.78421,1.28111,1.01428,0.00241349,0.00241349,0.00241349
129,25369.8,0.81567,1.34083,1.02915,0.94441,0.90101,0.94937,0.6672,0.78339,1.2807,1.01387,0.00240994,0.00240994,0.00240994
130,25570,0.81381,1.33859,1.02709,0.94502,0.90101,0.94909,0.66781,0.78308,1.2812,1.01357,0.0024064,0.0024064,0.0024064
131,25770.7,0.8123,1.33799,1.02661,0.9461,0.89952,0.94921,0.66878,0.78287,1.2805,1.01308,0.00240286,0.00240286,0.00240286
132,25968.8,0.81238,1.33249,1.02722,0.94572,0.90067,0.94935,0.66896,0.78213,1.27815,1.01264,0.00239931,0.00239931,0.00239931
133,26171.2,0.81086,1.32297,1.027,0.948,0.89945,0.94965,0.66958,0.78131,1.27543,1.01219,0.00239577,0.00239577,0.00239577
134,26369.7,0.81166,1.33303,1.02747,0.94619,0.90033,0.9498,0.66963,0.78069,1.27405,1.01189,0.00239223,0.00239223,0.00239223
135,26570.3,0.80626,1.31575,1.02365,0.94517,0.90142,0.94956,0.67004,0.78079,1.273,1.01171,0.00238868,0.00238868,0.00238868
136,26769.2,0.8101,1.3206,1.02355,0.9444,0.90244,0.94967,0.67056,0.7804,1.27117,1.01134,0.00238514,0.00238514,0.00238514
137,26969.2,0.80578,1.32144,1.02289,0.94635,0.90149,0.94971,0.67057,0.7796,1.27019,1.01055,0.0023816,0.0023816,0.0023816
138,27168.1,0.8047,1.32101,1.02272,0.94801,0.9017,0.95037,0.67179,0.77856,1.26906,1.00956,0.00237805,0.00237805,0.00237805
139,27366.8,0.80766,1.31804,1.02376,0.94714,0.90238,0.95075,0.67185,0.77857,1.26762,1.00916,0.00237451,0.00237451,0.00237451
140,27564.5,0.80252,1.31781,1.01952,0.9444,0.90033,0.94947,0.67183,0.77898,1.26863,1.0093,0.00237096,0.00237096,0.00237096
141,27764.4,0.80272,1.3086,1.02221,0.94446,0.90065,0.9497,0.6725,0.77801,1.26766,1.00848,0.00236742,0.00236742,0.00236742
142,27965.8,0.80264,1.30916,1.02141,0.94445,0.90043,0.95001,0.67281,0.77725,1.2643,1.00765,0.00236388,0.00236388,0.00236388
143,28165.6,0.80289,1.30901,1.02034,0.94243,0.9019,0.94937,0.67284,0.77648,1.26244,1.00708,0.00236033,0.00236033,0.00236033
144,28366,0.80425,1.31472,1.02212,0.94261,0.90127,0.94923,0.67364,0.77588,1.26194,1.00652,0.00235679,0.00235679,0.00235679
145,28566.5,0.80399,1.3096,1.02102,0.9427,0.90165,0.94956,0.67422,0.77522,1.26024,1.00602,0.00235325,0.00235325,0.00235325
146,28767.3,0.79704,1.30427,1.01764,0.94318,0.90101,0.94979,0.67441,0.77456,1.25829,1.00574,0.0023497,0.0023497,0.0023497
147,28967.8,0.79718,1.2991,1.01841,0.94392,0.90088,0.94977,0.67508,0.77333,1.25665,1.00531,0.00234616,0.00234616,0.00234616
148,29168.2,0.7952,1.29975,1.01583,0.93787,0.90233,0.9478,0.67262,0.77285,1.25655,1.00531,0.00234262,0.00234262,0.00234262
149,29368.1,0.79604,1.29345,1.018,0.93823,0.90204,0.94835,0.67308,0.77166,1.25424,1.00501,0.00233907,0.00233907,0.00233907
150,29567.5,0.79655,1.29711,1.01794,0.93825,0.90238,0.94838,0.67366,0.77144,1.25166,1.00497,0.00233553,0.00233553,0.00233553
151,29768.3,0.79571,1.29283,1.01714,0.93906,0.90217,0.94851,0.67385,0.77095,1.24913,1.00459,0.00233198,0.00233198,0.00233198
152,29967.3,0.79255,1.29135,1.01539,0.93924,0.90292,0.94865,0.67428,0.77059,1.2477,1.00451,0.00232844,0.00232844,0.00232844
153,30167.7,0.7948,1.29269,1.01758,0.93409,0.9019,0.94809,0.67447,0.77005,1.24769,1.00445,0.0023249,0.0023249,0.0023249
154,30366.2,0.79626,1.28882,1.0181,0.9324,0.9023,0.94797,0.6747,0.76978,1.24714,1.0046,0.00232135,0.00232135,0.00232135
155,30566,0.78917,1.28607,1.01282,0.93144,0.90387,0.94615,0.67485,0.76923,1.2459,1.00438,0.00231781,0.00231781,0.00231781
156,30763.9,0.79043,1.28592,1.01154,0.92567,0.90542,0.94523,0.67082,0.76861,1.24503,1.00405,0.00231427,0.00231427,0.00231427
157,30961.7,0.7893,1.28447,1.01489,0.92586,0.90592,0.94551,0.67097,0.76839,1.24217,1.00399,0.00231072,0.00231072,0.00231072
