epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
116,0.79712975025177,1.395893931388855,0.9808536171913147,0.94357,0.89705,0.94822,0.6622,0.7959,1.30739,1.02074
117,1.0109777450561523,1.5359983444213867,1.083419919013977,0.94183,0.89884,0.94825,0.66242,0.79453,1.30537,1.02021
118,0.9180790185928345,1.6248723268508911,1.0644025802612305,0.9448,0.89722,0.9482,0.66284,0.79351,1.30314,1.01973
119,0.8527718782424927,1.3080477714538574,1.0901545286178589,0.94459,0.89713,0.9485,0.66379,0.79276,1.30009,1.01904
120,0.9199458360671997,1.4708514213562012,1.0109503269195557,0.94558,0.89822,0.94865,0.66418,0.79133,1.29785,1.01829
121,0.9371041059494019,1.4447652101516724,1.1199438571929932,0.94564,0.89879,0.9486,0.66469,0.79097,1.29511,1.01807
122,0.8110958337783813,1.3520917892456055,1.0310544967651367,0.94708,0.898,0.94849,0.66484,0.78953,1.29246,1.01731
123,0.8397944569587708,1.5187394618988037,1.1069972515106201,0.94559,0.89952,0.94835,0.66506,0.78875,1.29117,1.01661
124,0.8369196057319641,1.3877630233764648,1.0558366775512695,0.94583,0.89868,0.9482,0.66541,0.78797,1.2883,1.01605
125,0.7417129278182983,1.2126792669296265,0.9444459676742554,0.94641,0.8989,0.94843,0.66587,0.78739,1.28747,1.01595
126,0.8830763101577759,1.3713475465774536,1.0541625022888184,0.94576,0.89979,0.94903,0.66634,0.78696,1.28642,1.01563
127,0.7686563730239868,1.217527985572815,0.9677301049232483,0.94567,0.89938,0.94905,0.66642,0.78625,1.28526,1.01529
128,0.6919499039649963,1.2978852987289429,0.9988265633583069,0.94503,0.90033,0.94941,0.66643,0.78509,1.28208,1.01479
129,0.7600604295730591,1.1198582649230957,0.9682157635688782,0.94462,0.89993,0.94905,0.66694,0.78421,1.28111,1.01428
130,0.745254635810852,1.2392187118530273,0.9755157232284546,0.94441,0.90101,0.94937,0.6672,0.78339,1.2807,1.01387
131,0.8035456538200378,1.4051942825317383,1.0289056301116943,0.94502,0.90101,0.94909,0.66781,0.78308,1.2812,1.01357
